1,2,geno,behaviour,fitness
39,0,--fsm-config --nstates 2 --s0 1  --s1 0 --rwm1 22 --n1 1 --n1x0 0 --c1x0 3 --w1x0 3.75 --p1x0 3 ,"[6000, 0.0]",15
39,0,--fsm-config --nstates 2 --s0 1  --s1 0 --rwm1 22 --n1 1 --n1x0 0 --c1x0 3 --w1x0 3.75 --p1x0 3 ,"[2400, 0.0]",15
